代码,名称,波段收益(%),死拿收益(%),相对超额(%)
300661,圣邦股份,55.76,17.67,38.08
300896,爱美客,20.45,-17.56,38.01
600104,上汽集团,17.16,-18.95,36.11
001391,国货航,5.45,-30.13,35.57
000661,长春高新,32.01,-1.85,33.86
002459,晶澳科技,18.02,-13.4,31.42
600438,通威股份,26.12,-4.93,31.05
000002,万科A,-3.94,-34.74,30.8
000983,山西焦煤,13.86,-15.69,29.54
600048,保利发展,1.18,-28.2,29.38
002180,纳思达,3.22,-25.01,28.23
601699,潞安环能,14.68,-12.68,27.36
600016,民生银行,26.51,0.52,25.98
000858,五 粮 液,9.04,-16.65,25.69
001979,招商蛇口,12.76,-12.76,25.51
600150,中国船舶,20.16,-2.94,23.11
600845,宝信软件,-1.88,-24.85,22.98
600161,天坛生物,5.26,-17.53,22.78
688223,晶科能源,4.71,-17.97,22.68
600809,山西汾酒,22.86,0.7,22.16
000651,格力电器,15.43,-6.53,21.96
688599,天合光能,10.66,-10.93,21.59
600600,青岛啤酒,0.59,-20.98,21.57
600436,片仔癀,3.79,-17.77,21.56
300122,智飞生物,-3.21,-24.56,21.35
000876,新 希 望,26.94,5.71,21.23
000999,华润三九,9.27,-11.92,21.2
603392,万泰生物,-11.03,-32.08,21.05
000568,泸州老窖,23.41,2.37,21.03
601985,中国核电,7.81,-13.21,21.02
601766,中国中车,10.6,-10.21,20.81
600015,华夏银行,13.88,-6.8,20.68
603260,合盛硅业,19.08,-1.58,20.66
600085,同仁堂,3.02,-17.29,20.31
601668,中国建筑,12.97,-7.21,20.18
000786,北新建材,-0.8,-20.89,20.1
301236,软通动力,6.71,-13.13,19.83
601236,红塔证券,24.9,5.11,19.8
601169,北京银行,15.79,-3.86,19.65
601816,京沪高铁,7.5,-12.1,19.59
003816,中国广核,16.84,-2.59,19.43
601800,中国交建,5.08,-14.11,19.19
688036,传音控股,-6.22,-25.37,19.16
001289,龙源电力,20.99,1.9,19.09
601225,陕西煤业,17.54,-1.47,19.0
600406,国电南瑞,14.55,-4.4,18.95
603833,欧派家居,-1.34,-20.18,18.84
601607,上海医药,6.45,-12.26,18.71
601390,中国中铁,10.79,-7.53,18.32
601865,福莱特,0.57,-17.73,18.3
002304,洋河股份,-2.05,-20.16,18.11
601117,中国化学,16.45,-1.57,18.02
600519,贵州茅台,14.38,-3.27,17.65
603195,公牛集团,3.55,-14.07,17.63
601186,中国铁建,7.89,-9.31,17.2
