代码,名称,波段收益(%),死拿收益(%),相对超额(%)
603259,药明康德,-11.78,-21.33,9.55
603993,洛阳钼业,40.57,31.15,9.43
688111,金山办公,2.19,-5.36,7.55
600809,山西汾酒,-8.2,-15.71,7.51
600276,恒瑞医药,4.47,3.7,0.77
601899,紫金矿业,25.66,25.06,0.6
601012,隆基绿能,-31.05,-28.69,-2.36
603501,豪威集团,-3.17,1.71,-4.88
688008,澜起科技,13.22,18.63,-5.41
601888,中国中免,-22.07,-15.38,-6.7
600406,国电南瑞,6.24,18.18,-11.94
601211,国泰海通,17.57,31.17,-13.61
600519,贵州茅台,-22.49,-6.73,-15.76
600309,万华化学,-21.73,-2.99,-18.74
600760,中航沈飞,1.81,21.14,-19.33
601816,京沪高铁,10.17,29.87,-19.7
600900,长江电力,10.63,30.52,-19.89
601600,中国铝业,5.74,35.56,-29.83
600941,中国移动,-3.91,26.85,-30.76
601225,陕西煤业,-13.3,17.86,-31.15
600048,保利发展,-33.18,-1.92,-31.26
601288,农业银行,30.62,62.21,-31.6
600050,中国联通,-2.77,29.47,-32.24
600028,中国石化,-7.72,27.72,-35.45
600150,中国船舶,-14.0,21.67,-35.67
601988,中国银行,14.91,50.88,-35.96
600036,招商银行,21.52,57.98,-36.47
688012,中微公司,-8.67,29.85,-38.51
600690,海尔智家,5.59,45.1,-39.51
601166,兴业银行,2.51,42.18,-39.67
601658,邮储银行,1.84,42.63,-40.79
601728,中国电信,2.69,43.6,-40.91
600887,伊利股份,-19.81,21.87,-41.68
601398,工商银行,18.36,60.55,-42.18
600031,三一重工,-19.58,22.84,-42.42
601088,中国神华,4.72,49.7,-44.98
601328,交通银行,0.41,48.46,-48.05
601127,赛力斯,35.63,84.15,-48.52
601985,中国核电,-9.44,40.49,-49.93
688981,中芯国际,28.04,78.66,-50.62
601857,中国石油,-14.79,36.17,-50.96
601668,中国建筑,-21.9,36.43,-58.33
601318,中国平安,-18.17,45.18,-63.34
601628,中国人寿,-9.97,54.59,-64.57
600030,中信证券,-13.47,51.42,-64.88
601766,中国中车,1.9,70.4,-68.5
601601,中国太保,-28.87,51.93,-80.8
601919,中远海控,-6.92,85.22,-92.14
688041,海光信息,13.97,107.57,-93.6
688256,寒武纪,77.19,387.77,-310.58
